articleID:ID(Article)	title
5305	Identify Key Sequence Features to Improve CRISPR sgRNA Efficacy.
5306	Quadrature Compressive Sampling for Multiband Radar Echo Signals.
5307	Full-Duplex Wireless-Powered Relay in Two Way Cooperative Networks.
5308	User Cooperation in Wireless Powered Communication Networks With a Pricing Mechanism.
5309	Measurement-Based Massive MIMO Channel Modeling for Outdoor LoS and NLoS Environments.
5310	Reengineering Fuzzy Spatiotemporal UML Data Model Into Fuzzy Spatiotemporal XML Model.
5311	Mining Customer Preference in Physical Stores From Interaction Behavior.
5312	Emotion Communication System.
5313	Exploiting Polarization for System Capacity Maximization in Ultra-Dense Small Cell Networks.
5314	Constrained Random Routing Mechanism for Source Privacy Protection in WSNs.
5315	Warranty Cost Modeling and Warranty Length Optimization Under Two Types of Failure and Combination Free Replacement and Pro-Rata Warranty.
5316	Tianji - Implementation of an Efficient Tracking Engine in the Mobile Internet Era.
5317	Extended PCJO for the Detection-Localization of Hypersignals and Hyposignals in CT Images.
5318	Blind Interference Alignment in Two-Cell Z Interference MIMO Channel.
5319	Static Routing and Spectrum Assignment for Deadline-Driven Bulk-Data Transfer in Elastic Optical Networks.
5320	Near-Field Millimeter-Wave Phased Array Imaging With Compressive Sensing.
5321	Life-Threatening Ventricular Arrhythmia Detection With Personalized Features.
5322	3-D Geometrical Model for Multi-Polarized MIMO Systems.
5323	Directional Illumination Estimation Sets and Multilevel Matching Metric for Illumination-Robust Face Recognition.
5324	An Interactive Meshless Cutting Model for Nonlinear Viscoelastic Soft Tissue in Surgical Simulators.
5325	A New Single Image Super-Resolution Method Based on the Infinite Mixture Model.
5326	On Simultaneous Wireless Information and Power Transfer for Receive Spatial Modulation.
5327	Downlink Ergodic Rate Analysis for Virtual Cell Based Cloud Radio Access Networks.
5328	H∞ Stabilization for Sampling Fuzzy Systems With Asynchronous Constraints on Membership Functions.
5329	Operator Profit-Aware Wireless Virtualization for Device-to-Device Communications Underlaying LTE Networks.
5330	Power Allocation for Cache-Aided Small-Cell Networks With Limited Backhaul.
5331	Time-Invariant Angle-Range Dependent Directional Modulation Based on Time-Modulated Frequency Diverse Arrays.
5332	A Smartphone-Based Multi-Functional Hearing Assistive System to Facilitate Speech Recognition in the Classroom.
5333	Novel Wideband Absorptive Bandstop Filters With Good Selectivity.
5334	Spectrum Sensor Employing Continuous Pilot Tones in Cognitive Radio Systems.
5335	Advances in Teaching and Learning on Facebook in Higher Institutions.
5336	Uncovering Suspicious Activity From Partially Paired and Incomplete Multimodal Data.
5337	Security Assessment of Code Obfuscation Based on Dynamic Monitoring in Android Things.
5338	Channel-Aware Randomized Encryption and Channel Estimation Attack.
5339	Impact of Co-Channel Interference on the Outage Performance Under Multiple Type II Relay Environments.
5340	Low-Power Low-VHF Ad-Hoc Networking in Complex Environments.
5341	Optimal Semi-Persistent Uplink Scheduling Policy for Large-Scale Antenna Systems.
5342	A Method for Fast Multi-Exposure Image Fusion.
5343	Design and Implementation of a Full-Duplex Pipelined MAC Protocol for Multihop Wireless Networks.
5344	Chrological Big data Curation - A Study on the Enhanced Information Retrieval System.
5345	Portfolio Optimization Based on Funds Standardization and Genetic Algorithm.
5346	A Block Recognition System Constructed by Using a Novel Projection Algorithm and Convolution Neural Networks.
5347	Analysis of a Wideband Circularly Polarized Cylindrical Dielectric Resonator Antenna With Broadside Radiation Coupled With Simple Microstrip Feeding.
5348	Rapid Modeling Method for Performance Prediction of Centrifugal Compressor Based on Model Migration and SVM.
5349	Phase-Coded Stepped Frequency Linear Frequency Modulated Waveform Synthesis Technique for Low Altitude Ultra-Wideband Synthetic Aperture Radar.
5350	Compact Full Duplex MIMO Radios in D2D Underlaid Cellular Networks - From System Design to Prototype Results.
5351	Innovative Method to Authenticate Copper Canisters Used for Spent Nuclear Fuel Based on the Ultrasonic Investigation of the Friction Stir Weld.
5352	Dataflow in MATLAB - Algorithm Acceleration Through Concurrency.
5353	Soft Resource Reservation for Low-Delayed Teleoperation Over Mobile Networks.
5354	Battery Management in a Green Fog-Computing Node - a Reinforcement-Learning Approach.
5355	Modelling Topological Features of Swarm Behaviour in Space and Time With Persistence Landscapes.
5356	A Systematic Mapping Study of Software Development With GitHub.
5357	Data-Driven Corpus Callosum Parcellation Method Through Diffusion Tensor Imaging.
5358	Advancing Software-Defined Networks - A Survey.
5359	Balancing Interference and Delay in Heterogeneous Ad Hoc Networks With MIMO.
5360	Energy-Efficient Power Control Algorithms in Massive MIMO Cognitive Radio Networks.
5361	Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.
5362	Analysis and Optimization of Power MOSFETs Shaped Switching Transients for Reduced EMI Generation.
5363	Sparse-Prior-Based Projection Distance Optimization Method for Joint CT-MRI Reconstruction.
5364	DMFA-SR - Deeper Membership and Friendship Awareness for Social Recommendation.
5365	Measurement and Modeling of Wireless Off-Body Propagation Characteristics Under Hospital Environment at 6-8.5 GHz.
5366	A Clustering Validity Index Based on Pairing Frequency.
5367	Automated Software Testing Based on Hierarchical State Transition Matrix for Smart TV.
5368	Physical Layer Security Jamming - Theoretical Limits and Practical Designs in Wireless Networks.
5369	A Review of Wideband Reflectarray Antennas for 5G Communication Systems.
5370	Trend Analysis of Fragmented Time Series for mHealth Apps - Hypothesis Testing Based Adaptive Spline Filtering Method With Importance Weighting.
5371	Computational Efficient Two-Dimension DOA Estimation for Incoherently Distributed Noncircular Sources With Automatic Pairing.
5372	Robust Regularized Random Vector Functional Link Network and Its Industrial Application.
5373	Configurable Platform for Optimal-Setting Control of Grinding Processes.
5374	Does Gaussian Approximation Work Well for the Long-Length Polar Code Construction?
5375	Cleaning Method for Status Monitoring Data of Power Equipment Based on Stacked Denoising Autoencoders.
5376	Bandwidth Overhead-Free Data Reconstruction Scheme for Distributed Storage Code With Low Decoding Complexity.
5377	Secure MAX/MIN Queries in Two-Tiered Wireless Sensor Networks.
5378	Voltage Regulation System of Doubly Salient Electromagnetic Generator Based on Indirect Adaptive Fuzzy Control.
5379	Design and Simulation of a Genetically Optimized Fuzzy Immune PID Controller for a Novel Grain Dryer.
5380	Iterative Learning Control for MIMO Singular Distributed Parameter Systems.
5381	Evaluation of DVR Capability Enhancement-Zero Active Power Tracking Technique.
5382	Outage Performance of Two-Hop OFDM Systems With Spatially Random Decode-and-Forward Relays.
5383	A Review on Soft Set-Based Parameter Reduction and Decision Making.
5384	An Alternative Approach to Normal Parameter Reduction Algorithm for Soft Set Theory.
5385	Achievable Multi-Security Levels for Lightweight IoT-Enabled Devices in Infrastructureless Peer-Aware Communications.
5386	Adaptive Resource Balancing for Serviceability Maximization in Fog Radio Access Networks.
5387	Theoretical and Experimental Comparison of Off-Grid Sparse Bayesian Direction-of-Arrival Estimation Algorithms.
5388	Effects of Ambient Lighting Displays on Peripheral Activity Awareness.
5389	A Simple and Versatile Field Prediction Model for Indoor and Indoor-to-Outdoor Propagation.
5390	A Method for the Electromagnetic Characterization of Construction Materials Based on Fabry-Pérot Resonance.
5391	An Ant Colony Optimization Approach for the Deployment of Reliable Wireless Sensor Networks.
5392	Multiuser MIMO Precoders With Proactive Primary Interference Cancelation and Link Quality Enhancement for Cognitive Radio Relay Systems.
5393	A Novel Centrality Cascading Based Edge Parameter Evaluation Method for Robust Influence Maximization.
5394	Joint User and Relay Selection for Cooperative NOMA Networks.
5395	Recognizing Emotions From Whispered Speech Based on Acoustic Feature Transfer Learning.
5396	A Data-Driven Decision Support System for Scoliosis Prognosis.
5397	Precoding Design for Multiuser MIMO Downlink Communication Systems Using an LQ-Based Cascade GSIC Algorithm.
5398	Adaptive Control of Input Delayed Uncertain Nonlinear Systems With Time-Varying Output Constraints.
5399	Distributed Mining for Content Filtering Function Based on Simulated Annealing and Gene Expression Programming in Active Distribution Network.
5400	Efficient Vector Influence Clustering Coefficient Based Directed Community Detection Method.
5401	Nonlinear Multimode Industrial Process Fault Detection Using Modified Kernel Principal Component Analysis.
5402	Water Desalination Fault Detection Using Machine Learning Approaches - A Comparative Study.
5403	Joint Downlink/Uplink Design for Wireless Powered Networks With Interference.
5404	Composite Active Front Steering Controller Design for Vehicle System.
5405	AI-HM Based Zero Portion Effects and Phase-Shift Optimization for Railway Auxiliary Inverter With Pulsating DC-Link.
5406	An Interactive and Comprehensive Software Tool to Promote Active Learning in the Loop Shaping Control System Design.
5407	Plasma and Fields Evaluation at the Chinese Seismo-Electromagnetic Satellite for Electric Field Detector Measurements.
5408	Assessment of Speech Intelligibility in Parkinson&apos;s Disease Using a Speech-To-Text System.
5409	A Cluster-Based Data Fusion Technique to Analyze Big Data in Wireless Multi-Sensor System.
5410	A Comparative Experimental Study of Robust Sliding Mode Control Strategies for Underactuated Systems.
5411	The Fall of One, the Rise of Many - A Survey on Multi-Biometric Fusion Methods.
5412	RECT - A Cloud-Based Learning Tool for Graduate Software Engineering Practice Courses With Remote Tutor Support.
5413	A Compositional Analysis Method for Petri-Net Models.
5414	Random Beamforming in Millimeter-Wave NOMA Networks.
5415	Performance Improvement of Kinect Software Development Kit-Constructed Speech Recognition Using a Client-Server Sensor Fusion Strategy for Smart Human-Computer Interface Control Applications.
5416	A Novel Group Wise-Based Method for Calculating Human miRNA Functional Similarity.
5417	A Robust Online Saccadic Eye Movement Recognition Method Combining Electrooculography and Video.
5418	Simplified Tightly-Coupled Cross-Dipole Arrangement for Base Station Applications.
5419	A Quality and Distance Guided Metaheuristic Algorithm for Vertex Separation Problem.
5420	Facial Expression Recognition From Image Sequence Based on LBP and Taylor Expansion.
5421	Multidimensional OAM-Based Secure High-Speed Wireless Communications.
5422	Disturbance Observer-Based Fuzzy SMC of WECSs Without Wind Speed Measurement.
5423	Energy Harvesting-Based D2D Communications in the Presence of Interference and Ambient RF Sources.
5424	Predicting Exploitations of Information Systems Vulnerabilities Through Attackers&apos; Characteristics.
5425	From Multi-Scale Decomposition to Non-Multi-Scale Decomposition Methods - A Comprehensive Survey of Image Fusion Techniques and Its Applications.
5426	Asynchronous L1 Tracking Control of Switched Positive Systems With Actuator Saturation.
5427	Capacity Region of Gaussian Multiple-Access Channels With Energy Harvesting and Energy Cooperation.
5428	AJSR - an Efficient Multiple Jumps Forwarding Scheme in Software-Defined WAN.
5429	Open Data-Set of Seven Canadian Cities.
5430	A Multi-Step Source Localization Method With Narrowing Velocity Interval of Cyber-Physical Systems in Buildings.
5431	Theoretical and Experimental Studies of Localization Methodology for AE and Microseismic Sources Without Pre-Measured Wave Velocity in Mines.
5432	Three Dimensional Comprehensive Analytical Solutions for Locating Sources of Sensor Networks in Unknown Velocity Mining System.
5433	Interval Non-Probabilistic Reliability of a Surrounding Jointed Rockmass in Underground Engineering - A Case Study.
5434	Pre-Alarm System Based on Real-Time Monitoring and Numerical Simulation Using Internet of Things and Cloud Computing for Tailings Dam in Mines.
5435	Joint Data-Driven Fault Diagnosis Integrating Causality Graph With Statistical Process Monitoring for Complex Industrial Processes.
5436	Solvability of Output Regulation for Cascade Switched Nonlinear Systems.
5437	Signal Restoration Combining Modified Tikhonov Regularization and Preconditioning Technology.
5438	Image Smoothing via Truncated Total Variation.
5439	Multi-Agent System-Based Event-Triggered Hybrid Control Scheme for Energy Internet.
5440	Hierarchical Delay-Dependent Distributed Coordinated Control for DC Ring-Bus Microgrids.
5441	MAS-Based Hierarchical Distributed Coordinate Control Strategy of Virtual Power Source Voltage in Low-Voltage Microgrid.
5442	Image Segmentation-Based Multi-Focus Image Fusion Through Multi-Scale Convolutional Neural Network.
5443	Optimal Save-Then-Transmit for Random Energy Harvesting Communications - An Optimal Stopping Approach.
5444	RFID and Multi-Agent Based Architecture for Information Sharing in Prefabricated Component Supply Chain.
5445	A Scheduling Scheme of Linear Model Predictive Controllers for Turbofan Engines.
5446	An Android Malware Detection Approach Using Community Structures of Weighted Function Call Graphs.
5447	Event-Triggered Consensus Seeking of Heterogeneous First-Order Agents With Input Delay.
5448	Practical Incentive Mechanisms for IoT-Based Mobile Crowdsensing Systems.
5449	Two-Stage Power Allocation for Dual-Hop Relaying Systems With Non-Orthogonal Multiple Access.
5450	Minimizing Carbon Dioxide Emissions Due to Container Handling at Marine Container Terminals via Hybrid Evolutionary Algorithms.
5451	A Systematic Review on Educational Data Mining.
5452	Entity Search Based on the Representation Learning Model With Different Embedding Strategies.
5453	Adaptive De-Coupling and Multi-BS Association in Heterogeneous Networks.
5454	Evaluation of FPGA Hardware as a New Approach for Accelerating the Numerical Solution of CFD Problems.
5455	Modelling Future Electricity - Rethinking the Organizational Model of Nigeria&apos;s Electricity Sector.
5456	Regulated-Element Frost Beamformer for Vehicular Multimedia Sound Enhancement and Noise Reduction Applications.
5457	LTE for Public Safety Networks - Synchronization in the Presence of Jamming.
5458	Mobile Learning for English Language Acquisition - Taxonomy, Challenges, and Recommendations.
5459	Joint 2D-DOA and Carrier Frequency Estimation Technique Using Nonlinear Kalman Filters for Cognitive Radio.
5460	A Statistical Priority-Based Scheduling Metric for M2M Communications in LTE Networks.
5461	Power Allocation in an RF Energy Harvesting DF Relay Network in the Presence of an Interferer.
5462	Secrecy Rates and Optimal Power Allocation for Full-Duplex Decode-and-Forward Relay Wire-Tap Channels.
5463	Incorporating the Range-Based Method into GridSim for Modeling Task and Resource Heterogeneity.
5464	Migration Energy Aware Reconfigurations of Virtual Network Function Instances in NFV Architectures.
5465	On the Performance of Optical Wireless Links Over Random Foggy Channels.
5466	Toward Automated Analysis of Electrocardiogram Big Data by Graphics Processing Unit for Mobile Health Application.
5467	The Capacity of Device-to-Device Communication Underlaying Cellular Networks With Relay Links.
5468	Faster-Than-Nyquist Signaling - An Overview.
5469	Experimental Evaluation of User Influence on Test Zone Size in Multi-Probe Anechoic Chamber Setups.
5470	Physical Layer Security Based on Interference Alignment in K-User MIMO Y Wiretap Channels.
5471	Integrated Approach for Online Dynamic Security Assessment With Credibility and Visualization Based on Exploring Connotative Associations in Massive Data.
5472	Real-Time Static Voltage Stability Assessment in Large-Scale Power Systems Based on Maximum-Relevance Minimum-Redundancy Ensemble Approach.
5473	Tunable Ultra-Broadband Microwave Frequency Combs Generation Based on a Current Modulated Semiconductor Laser Under Optical Injection.
5474	A Novel DAL Scheme With Shared-Locking for Semantic Conflict Prevention in Unconstrained Real-Time Collaborative Programming.
5475	Iteratively Reweighted Blind Deconvolution With Adaptive Regularization Parameter Estimation.
5476	Sampled-Data ℒ2-ℒ∞ Consensus Control of Nonlinear Multi-Agent Systems.
5477	Massive MIMO for Full-Duplex Cellular Two-Way Relay Network - A Spectral Efficiency Study.
5478	Performance Evaluation of Visual Tracking Algorithms on Video Sequences With Quality Degradation.
5479	A Novel Statistical Multi-Channel Busy Recognition Mechanism in the MAC Layer for Airborne Tactical Networks.
5480	Soccer Video Structure Analysis by Parallel Feature Fusion Network and Hidden-to-Observable Transferring Markov Model.
5481	A Novel Low-Loss Millimeter-Wave 3-dB 90° Ridge-Gap Coupler Using Large Aperture Progressive Phase Compensation.
5482	An Extended State Convergence Architecture for Multilateral Teleoperation Systems.
5483	DS-Index - Ranking Authors Distinctively in an Academic Network.
5484	Side Lobe Suppression in NC-OFDM Systems Using Variable Cancellation Basis Function.
5485	Unmanned Aerial Vehicles as Store-Carry-Forward Nodes for Vehicular Networks.
5486	An Agent Based Traffic Regulation System for the Roadside Air Quality Control.
5487	A Backstepping Neural Global Sliding Mode Control Using Fuzzy Approximator for Three-Phase Active Power Filter.
5488	Numerical Analysis of a Transmission Line Illuminated by a Random Plane-Wave Field Using Stochastic Reduced Order Models.
5489	Congestion Control in Molecular Cyber-Physical Systems.
5490	Integrated Approach to Software Defect Prediction.
5491	Downlink Scheduling and Resource Allocation for 5G MIMO-Multicarrier - OFDM vs FBMC/OQAM.
5492	A Highly Accurate Method of Locating Microseismic Events Associated With Rockburst Development Processes in Tunnels.
5493	Interval Analysis and DEMATEL-Based Reliability Apportionment for Energy Consumption Optimization With Energy Internet.
5494	Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.
5495	Personalized Image Annotation Using Deep Architecture.
5496	Incentive-Compatible Packet Forwarding in Mobile Social Networks via Evolutionary Game Theory.
5497	Anonymous Authentication on Trust in Pervasive Social Networking Based on Group Signature.
5498	An Efficient Rateless Scheme Based on the Extendibility of Systematic Polar Codes.
5499	Adaptive Mode Decomposition Methods and Their Applications in Signal Analysis for Machinery Fault Diagnosis - A Review With Examples.
5500	A 3D Surface Matching Method Using Keypoint- Based Covariance Matrix Descriptors.
5501	Multi-Targeted Downlink Scheduling for Overload-States in LTE Networks - Proportional Fractional Knapsack Algorithm With Gaussian Weights.
5502	A Comparison of Techniques for Fault Detection in Inverter-Fed Induction Motors in Transient Regime.
5503	Effects of Using Virtual Reality and Virtual Avatar on Hand Motion Reconstruction Accuracy and Brain Activity.
5504	Interactive Multiple Model Filter for Land-Mobile Satellite Communications at Ka-Band.
5505	CrowdSenSim - a Simulation Platform for Mobile Crowdsensing in Realistic Urban Environments.
5506	Channel Estimation for Massive MIMO TDD Systems Assuming Pilot Contamination and Frequency Selective Fading.
5507	NPi-Cluster - A Low Power Energy-Proportional Computing Cluster Architecture.
5508	Uplink Performance of Single-Carrier Receiver in Massive MIMO With Pilot Contamination.
5509	From Theory to Experimental Evaluation - Resource Management in Software-Defined Vehicular Networks.
5510	The Effect of Inverter Failures on the Return on Investment of Solar Photovoltaic Systems.
5511	Bootstrap Based Uncertainty Propagation for Data Quality Estimation in Crowdsensing Systems.
5512	Evidential Network Modeling for Cyber-Physical System State Inference.
5513	Sub-Nyquist Sampling and Recovery of Pulse Streams With the Real Parts of Fourier Coefficients.
5514	A Heuristic Task Periods Selection Algorithm for Real-Time Control Systems on a Multi-Core Processor.
5515	Adaptive Kalman Estimation of Phase Holdup of Water-Continuous Oil-Water Two-Phase Flow.
5516	Mining Frequent Route Patterns Based on Personal Trajectory Abstraction.
5517	Finding Abnormal Vessel Trajectories Using Feature Learning.
5518	Cross-Networks Energy Efficiency Tradeoff - From Wired Networks to Wireless Networks.
5519	Market Equilibrium in Active Distribution System With µVPPs - A Coevolutionary Approach.
5520	Identifying Urban Subcenters from Commuting Fluxes - A Case Study of Wuhan, China.
5521	Irregularly Shaped Cluster Detection Using a CPSO Distribution-Free Spatial Scan Statistic.
5522	Design and Evaluation of Safety Instrumented Systems - A Simplified and Enhanced Approach.
5523	A Proposed Alignment of the National Institute of Standards and Technology Framework with the Funnel Risk Graph Method.
5524	Feature Extraction Based Multi-Structure Manifold Embedding for Hyperspectral Remote Sensing Image Classification.
5525	Green Communication in Next Generation Cellular Networks - A Survey.
5526	Robust and Reliable Predictive Routing Strategy for Flying Ad-Hoc Networks.
5527	Heterogeneous Statistical QoS Provisioning Over Wireless Powered Sensor Networks.
5528	An Approach to Data Consistency Checking for the Dynamic Replacement of Service Process.
5529	Compact, Popularity-Aware and Adaptive Hybrid Data Placement Schemes for Heterogeneous Cloud Storage.
5530	Deep Data Stream Analysis Model and Algorithm With Memory Mechanism.
5531	Femtosecond Pulses Generation From a Diode-Pumped Yb - CaNb2O6 Disordered Crystal Laser.
5532	A Dynamic Model and Modified One-Cycle Control of Three-Level Front-End Rectifier for Neutral Point Voltage Balance.
5533	Antenna Diagnostics and Characterization Using Unmanned Aerial Vehicles.
5534	Fault-Tolerant Certifiable Control for a V-Tail Remotely Piloted Aircraft System.
5535	Temporal-Spatial Features of Intention Understanding Based on EEG-fNIRS Bimodal Measurement.
5536	Data Mining and Analytics in the Process Industry - The Role of Machine Learning.
5537	A Brain-Computer Interface Based on a Few-Channel EEG-fNIRS Bimodal System.
5538	A Smartwatch Step Counter for Slow and Intermittent Ambulation.
5539	Geosphere - An Exact Depth-First Sphere Decoder Architecture Scalable to Very Dense Constellations.
5540	Adaptive Resource Management Strategy in Practical Multi-Radio Heterogeneous Networks.
5541	A Performance Simulation Tool for the Analysis of Data Gathering in Both Terrestrial and Underwater Sensor Networks.
5542	TCM Analysis of Defected Ground Structures for MIMO Antenna Designs in Mobile Terminals.
5543	Lyapunov Based-Distributed Fuzzy-Sliding Mode Control for Building Integrated-DC Microgrid With Plug-In Electric Vehicle.
5544	Design of the Collector of a Solar Dish-Stirling System - A Case Study.
5545	EMC Regulations and Spectral Constraints for Multicarrier Modulation in PLC.
5546	Hybrid Imaging System for Simultaneous Spiral MR and X-ray (MRX) Scans.
5547	Practical Implementation of Index Modulation-Based Waveforms.
5548	Magnetic Resonance Imaging Assisted by Wireless Passive Implantable Fiducial e-Markers.
5549	Privacy-Preserving Comparison of Variable-Length Data With Application to Biometric Template Protection.
5550	An Empirical Study on the Impact of an IDE Tool Support in the Pair and Solo Programming.
5551	Mathematical Bottom-to-Up Approach in Video Quality Estimation Based on PHY and MAC Parameters.
5552	Case-Based Statistical Learning - A Non-Parametric Implementation With a Conditional-Error Rate SVM.
5553	A Modified Differential Evolution With Distance-based Selection for Continuous Optimization in Presence of Noise.
5554	Non-Cooperative Beacon Rate and Awareness Control for VANETs.
5555	A Standardised Modular Approach for Site SCADA Applications Within a Water Utility.
5556	Heuristics for the Multi-Robot Worst-Case Pursuit-Evasion Problem.
5557	High-Q Substrate Integrated Waveguide Resonator Filter With Dielectric Loading.
5558	ISAR Imaging With Wideband V-FM Waveforms via Dual-Channel CS-D.
5559	A Stochastic Optimization Framework for Adaptive Spectrum Access and Power Allocation in Licensed-Assisted Access Networks.
5560	Detection and Correction of Cycle Slip in Triple-Frequency GNSS Positioning.
5561	Distributed Secure Estimation Over Wireless Sensor Networks Against Random Multichannel Jamming Attacks.
5562	Exploiting Interference for Capacity Improvement in Software-Defined Vehicular Networks.
5563	Matrix Factorization With Rating Completion - An Enhanced SVD Model for Collaborative Filtering Recommender Systems.
5564	Utility-Privacy Tradeoff Based on Random Data Obfuscation in Internet of Energy.
5565	BAMORF - A Novel Computational Method for Predicting the Extracellular Matrix Proteins.
5566	A FPGA-Based Neuromorphic Locomotion System for Multi-Legged Robots.
5567	A Game-Based Localized Multi-Objective Topology Control Scheme in Heterogeneous Wireless Networks.
5568	A Proposal to Improve the Authentication Process in m-Health Environments.
5569	Age Groups Classification in Social Network Using Deep Learning.
5570	Fuzzy Approach to Prioritize Usability Requirements Conflicts - An Experimental Evaluation.
5571	Exploiting Fine-Grained Co-Authorship for Personalized Citation Recommendation.
5572	Prognostics for a Leaking Hydraulic Actuator Based on the F-Distribution Particle Filter.
5573	Flexible Positioning of Source-Detector Arrays in 3D Visualization Platform for Monte Carlo Simulation of Light Propagation.
5574	Performance Analysis of Two-Way Multi-Antenna Multi-Relay Networks With Hardware Impairments.
5575	Dynamic Modeling and Active Morphing Trajectory-Attitude Separation Control Approach for Gull-Wing Aircraft.
5576	Sparse Representation Based Algorithm for Airborne Radar in Beam-Space Post-Doppler Reduced-Dimension Space-Time Adaptive Processing.
5577	A Fast Low Rank Hankel Matrix Factorization Reconstruction Method for Non-Uniformly Sampled Magnetic Resonance Spectroscopy.
5578	Context-Aware Scheduling in Personal Data Collection From Multiple Wearable Devices.
5579	Soft Combination for Cooperative Spectrum Sensing in Fading Channels.
5580	Practical Design and Implementation of Metamaterial-Enhanced Magnetic Induction Communication.
5581	Fine-Grained Recommendation Mechanism to Curb Astroturfing in Crowdsourcing Systems.
5582	Understanding Application-Battery Interactions on Smartphones - A Large-Scale Empirical Study.
5583	Triple-Mode Cavity Bandpass Filter on Doublet With Controllable Transmission Zeros.
5584	DNA Code Design Based on the Bloch Quantum Chaos Algorithm.
5585	Joint Cooperative Beamforming and Jamming for Physical-Layer Security of Decode-and-Forward Relay Networks.
5586	Two-Stage Time-Domain Pilot Contamination Elimination in Large-Scale Multiple-Antenna Aided and TDD Based OFDM Systems.
5587	An Efficient Method for Improving the Dose-Volume-Based Optimization Plan Quality.
5588	Outage Analysis of Multi-Relay Networks With Hardware Impairments Using SECps Scheduling Scheme in Shadowed-Rician Channel.
5589	Person Re-Identification by Weighted Integration of Sparse and Collaborative Representation.
5590	Balanced Diplexers Based on Inner-Coupled Dual-Mode Structures With Intrinsic Common-Mode Suppression.
5591	Rate and Outage Trade-Offs for OFDMA Based Device to Device Communication Frameworks.
5592	Energy Harvesting Aided Device-to-Device Communication Underlaying the Cellular Downlink.
5593	Context-Aware Radio Access Technology Selection in 5G Ultra Dense Networks.
5594	A Simple Multi-Objective Optimization Based on the Cross-Entropy Method.
5595	Development of a Diagnostic Algorithm to Identify Psycho-Physiological Game Addiction Attributes Using Statistical Parameters.
5596	SITE - The Simple Internet of Things Enabler for Smart Homes.
5597	An Optimal Design Framework for 1 + 1 Routing and Network Coding Assignment Problem in WDM Optical Networks.
5598	Complex Hadamard Matrix-Aided Generalized Space Shift Keying Modulation.
5599	Dynamic and Adaptive Fault Tolerant Scheduling With QoS Consideration in Computational Grid.
5600	A Flexible FPGA-Based Quasi-Cyclic LDPC Decoder.
5601	Hybrid Clustering Scheme for Relaying in Multi-Cell LTE High User Density Networks.
5602	Preserving Content Integrity of Digital Holy Quran - Survey and Open Challenges.
5603	Using Sensitivity Analysis and Cross-Association for the Design of Intrusion Detection Systems in Industrial Cyber-Physical Systems.
5604	OFDM-Subcarrier Index Selection for Enhancing Security and Reliability of 5G URLLC Services.
5605	A Security Model for Preserving the Privacy of Medical Big Data in a Healthcare Cloud Using a Fog Computing Facility With Pairing-Based Cryptography.
5606	Improve the Security of GNSS Receivers Through Spoofing Mitigation.
5607	Security-Based Active Demand Response Strategy Considering Uncertainties in Power Systems.
5608	MCRA - A Multi-Charger Cooperation Recharging Algorithm Based on Area Division for WSNs.
5609	Adapting Dynamic Appearance for Robust Visual Tracking.
5610	Performance Analysis of Distributed Auxiliary Radio Telescopes Under Shared Spectrum Access Paradigm and Cooling Power Constraint.
5611	Active Trace - A Sparse Spatiotemporal Representation for Videos.
5612	Retrieval of TV Talk-Show Speakers by Associating Audio Transcript to Visual Clusters.
5613	Probabilistic Neighborhood Location-Point Covering Set-Based Data Collection Algorithm With Obstacle Avoidance for Three-Dimensional Underwater Acoustic Sensor Networks.
5614	An Effective Approach for Rock Mass Discontinuity Extraction Based on Terrestrial LiDAR Scanning 3D Point Clouds.
5615	A Compact V-Band Planar Gap-Coupled 4×1 Antenna Array - Improved Design and Analysis.
5616	A Geometry Surveying Model and Instrument of a Scraper Conveyor in Unmanned Longwall Mining Faces.
5617	IEEE Access Special Section Editorial - Emergent Topics for Mobile and Ubiquitous Systems in Smartphone, IOT, and Cloud Computing ERA.
5618	Extracting Hierarchical Structure of Web Video Groups Based on Sentiment-Aware Signed Network Analysis.
5619	Comparison of Different Data Aggregation Techniques in Distributed Sensor Networks.
5620	The Efficiency of a Two-Stage Reluctance Accelerator Through Pulse Shaping.
5621	A Mirror Shape Chiral Meta Atom for C-Band Communication.
5622	Determining Smartphone&apos;s Placement Through Material Detection, Using Multiple Features Produced in Sound Echoes.
5623	Resource Provisioning for Cloud-Assisted Body Area Network in a Smart Home Environment.
5624	Interference Minimization in D2D Communication Underlaying Cellular Networks.
5625	Adopting Setpoint Weighting Strategy for WirelessHART Networked Control Systems Characterised by Stochastic Delay.
5626	The Feasibility of Coexistence Between 5G and Existing Services in the IMT-2020 Candidate Bands in Malaysia.
5627	Performance Analysis of Beamforming in MU-MIMO Systems for Rayleigh Fading Channels.
5628	Are We Intentionally Limiting Urban Planning and Intelligence? A Causal Evaluative Review and Methodical Redirection for Intelligence Systems.
5629	Cognitive Risk Control for Physical Systems.
5630	Locality-Aware Replacement Algorithm in Flash Memory to Optimize Cloud Computing for Smart Factory of Industry 4.0.
5631	Proportional Fairness-Based Resource Allocation for LTE-U Coexisting With Wi-Fi.
5632	Distributed Cache Placement and User Association in Multicast-Aided Heterogeneous Networks.
5633	A Novel Dual-Broadband Dual-Polarized Electrical Downtilt Base Station Antenna for 2G/3G Applications.
