:START_ID(Volume)	pages	:END_ID(Article)
IEEE Trans. Industrial Electronics|65	470-477	2326
IEEE Trans. Industrial Electronics|65	4831-4839	2327
IEEE Trans. Industrial Electronics|65	321-330	2328
IEEE Trans. Industrial Electronics|65	1244-1253	2329
IEEE Trans. Industrial Electronics|65	3145-3156	2330
IEEE Trans. Industrial Electronics|65	7709-7718	2331
IEEE Trans. Industrial Electronics|65	2112-2121	2332
IEEE Trans. Industrial Electronics|65	4103-4113	2333
IEEE Trans. Industrial Electronics|65	2226-2233	2334
IEEE Trans. Industrial Electronics|65	5872-5881	2335
IEEE Trans. Industrial Electronics|65	1031-1040	2336
IEEE Trans. Industrial Electronics|65	3017-3026	2337
IEEE Trans. Industrial Electronics|65	2975-2985	2338
IEEE Trans. Industrial Electronics|65	8687-8696	2339
IEEE Trans. Industrial Electronics|65	6150-6159	2340
IEEE Trans. Industrial Electronics|65	3157-3164	2341
IEEE Trans. Industrial Electronics|65	3337-3345	2342
IEEE Trans. Industrial Electronics|65	2467-2474	2343
IEEE Trans. Industrial Electronics|65	819-829	2344
IEEE Trans. Industrial Electronics|65	1011-1020	2345
IEEE Trans. Industrial Electronics|65	4691-4701	2346
IEEE Trans. Industrial Electronics|65	8993-9004	2347
IEEE Trans. Industrial Electronics|65	1808-1818	2348
IEEE Trans. Industrial Electronics|65	5376-5383	2349
IEEE Trans. Industrial Electronics|65	2828-2833	2350
IEEE Trans. Industrial Electronics|65	855-864	2351
IEEE Trans. Industrial Electronics|65	2189-2198	2352
IEEE Trans. Industrial Electronics|65	8768-8777	2353
IEEE Trans. Industrial Electronics|65	4279-4289	2354
IEEE Trans. Industrial Electronics|65	9025-9029	2355
IEEE Trans. Industrial Electronics|65	2135-2144	2356
IEEE Trans. Industrial Electronics|65	3437-3446	2357
IEEE Trans. Industrial Electronics|65	2507-2517	2358
IEEE Trans. Industrial Electronics|65	6425-6435	2359
IEEE Trans. Industrial Electronics|65	3858-3865	2360
IEEE Trans. Industrial Electronics|65	3176-3187	2361
IEEE Trans. Industrial Electronics|65	1000-1010	2362
IEEE Trans. Industrial Electronics|65	3469-3479	2363
IEEE Trans. Industrial Electronics|65	7416-7422	2364
IEEE Trans. Industrial Electronics|65	242-250	2365
IEEE Trans. Industrial Electronics|65	9677-9686	2366
IEEE Trans. Industrial Electronics|65	3317-3325	2367
IEEE Trans. Industrial Electronics|65	3346-3354	2368
IEEE Trans. Industrial Electronics|65	5001-5011	2369
IEEE Trans. Industrial Electronics|65	9336-9345	2370
IEEE Trans. Industrial Electronics|65	597-607	2371
IEEE Trans. Industrial Electronics|65	2368-2377	2372
IEEE Trans. Industrial Electronics|65	5436-5444	2373
IEEE Trans. Industrial Electronics|65	2755-2765	2374
IEEE Trans. Industrial Electronics|65	9604-9613	2375
IEEE Trans. Industrial Electronics|65	510-520	2376
IEEE Trans. Industrial Electronics|65	4331-4337	2377
IEEE Trans. Industrial Electronics|65	4670-4680	2378
IEEE Trans. Industrial Electronics|65	9204-9214	2379
IEEE Trans. Industrial Electronics|65	3795-3804	2380
IEEE Trans. Industrial Electronics|65	9698-9705	2381
IEEE Trans. Industrial Electronics|65	6560-6570	2382
IEEE Trans. Industrial Electronics|65	977-987	2383
IEEE Trans. Industrial Electronics|65	918-929	2384
IEEE Trans. Industrial Electronics|65	8277-8286	2385
IEEE Trans. Industrial Electronics|65	4466-4474	2386
IEEE Trans. Industrial Electronics|65	9717-9727	2387
IEEE Trans. Industrial Electronics|65	6270-6280	2388
IEEE Trans. Industrial Electronics|65	543-552	2389
IEEE Trans. Industrial Electronics|65	7149-7159	2390
IEEE Trans. Industrial Electronics|65	125-132	2391
IEEE Trans. Industrial Electronics|65	6709-6718	2392
IEEE Trans. Industrial Electronics|65	7015-7024	2393
IEEE Trans. Industrial Electronics|65	3136-3144	2394
IEEE Trans. Industrial Electronics|65	8936-8945	2395
IEEE Trans. Industrial Electronics|65	1205-1212	2396
IEEE Trans. Industrial Electronics|65	5580-5589	2397
IEEE Trans. Industrial Electronics|65	5250-5259	2398
IEEE Trans. Industrial Electronics|65	1074-1083	2399
IEEE Trans. Industrial Electronics|65	3720-3729	2400
IEEE Trans. Industrial Electronics|65	7363-7373	2401
IEEE Trans. Industrial Electronics|65	1254-1262	2402
IEEE Trans. Industrial Electronics|65	7753-7761	2403
IEEE Trans. Industrial Electronics|65	589-596	2404
IEEE Trans. Industrial Electronics|65	1226-1234	2405
IEEE Trans. Industrial Electronics|65	4871-4879	2406
IEEE Trans. Industrial Electronics|65	5970-5978	2407
IEEE Trans. Industrial Electronics|65	488-497	2408
IEEE Trans. Industrial Electronics|65	8697-8706	2409
IEEE Trans. Industrial Electronics|65	1408-1419	2410
IEEE Trans. Industrial Electronics|65	9255-9265	2411
IEEE Trans. Industrial Electronics|65	1388-1397	2412
IEEE Trans. Industrial Electronics|65	4631-4639	2413
IEEE Trans. Industrial Electronics|65	1791-1798	2414
IEEE Trans. Industrial Electronics|65	4454-4465	2415
IEEE Trans. Industrial Electronics|65	4338-4346	2416
IEEE Trans. Industrial Electronics|65	570-577	2417
IEEE Trans. Industrial Electronics|65	7437-7446	2418
IEEE Trans. Industrial Electronics|65	6667-6675	2419
IEEE Trans. Industrial Electronics|65	1762-1771	2420
IEEE Trans. Industrial Electronics|65	7590-7599	2421
IEEE Trans. Industrial Electronics|65	4092-4102	2422
IEEE Trans. Industrial Electronics|65	8718-8729	2423
IEEE Trans. Industrial Electronics|65	6468-6477	2424
IEEE Trans. Industrial Electronics|65	1367-1376	2425
IEEE Trans. Industrial Electronics|65	6581-6591	2426
IEEE Trans. Industrial Electronics|65	9614-9624	2427
IEEE Trans. Industrial Electronics|65	4933-4942	2428
IEEE Trans. Industrial Electronics|65	2458-2466	2429
IEEE Trans. Industrial Electronics|65	7526-7535	2430
IEEE Trans. Industrial Electronics|65	3275-3285	2431
IEEE Trans. Industrial Electronics|65	687-698	2432
IEEE Trans. Industrial Electronics|65	8677-8686	2433
IEEE Trans. Industrial Electronics|65	3230-3239	2434
IEEE Trans. Industrial Electronics|65	8030-8040	2435
IEEE Trans. Industrial Electronics|65	8072-8079	2436
IEEE Trans. Industrial Electronics|65	1704-1710	2437
IEEE Trans. Industrial Electronics|65	6696-6708	2438
IEEE Trans. Industrial Electronics|65	4650-4660	2439
IEEE Trans. Industrial Electronics|65	8260-8270	2440
IEEE Trans. Industrial Electronics|65	460-469	2441
IEEE Trans. Industrial Electronics|65	2683-2692	2442
IEEE Trans. Industrial Electronics|65	3395-3405	2443
IEEE Trans. Industrial Electronics|65	1420-1428	2444
IEEE Trans. Industrial Electronics|65	8287-8296	2445
IEEE Trans. Industrial Electronics|65	3198-3209	2446
IEEE Trans. Industrial Electronics|65	9593-9603	2447
IEEE Trans. Industrial Electronics|65	2704-2715	2448
IEEE Trans. Industrial Electronics|65	1781-1790	2449
IEEE Trans. Industrial Electronics|65	1645-1654	2450
IEEE Trans. Industrial Electronics|65	6515-6526	2451
IEEE Trans. Industrial Electronics|65	7138-7148	2452
IEEE Trans. Industrial Electronics|65	3585-3591	2453
IEEE Trans. Industrial Electronics|65	3677-3687	2454
IEEE Trans. Industrial Electronics|65	3837-3847	2455
IEEE Trans. Industrial Electronics|65	7730-7740	2456
IEEE Trans. Industrial Electronics|65	7049-7059	2457
IEEE Trans. Industrial Electronics|65	4524-4533	2458
IEEE Trans. Industrial Electronics|65	7536-7547	2459
IEEE Trans. Industrial Electronics|65	898-906	2460
IEEE Trans. Industrial Electronics|65	6478-6486	2461
IEEE Trans. Industrial Electronics|65	6044-6054	2462
IEEE Trans. Industrial Electronics|65	3899-3909	2463
IEEE Trans. Industrial Electronics|65	2145-2155	2464
IEEE Trans. Industrial Electronics|65	2122-2134	2465
IEEE Trans. Industrial Electronics|65	6740-6750	2466
IEEE Trans. Industrial Electronics|65	16-26	2467
IEEE Trans. Industrial Electronics|65	412-423	2468
IEEE Trans. Industrial Electronics|65	4247-4256	2469
IEEE Trans. Industrial Electronics|65	9378-9387	2470
IEEE Trans. Industrial Electronics|65	5712-5721	2471
IEEE Trans. Industrial Electronics|65	6168-6176	2472
IEEE Trans. Industrial Electronics|65	3104-3114	2473
IEEE Trans. Industrial Electronics|65	5893-5902	2474
IEEE Trans. Industrial Electronics|65	5146-5156	2475
IEEE Trans. Industrial Electronics|65	8063-8071	2476
IEEE Trans. Industrial Electronics|65	4207-4215	2477
IEEE Trans. Industrial Electronics|65	8498-8509	2478
IEEE Trans. Industrial Electronics|65	2737-2744	2479
IEEE Trans. Industrial Electronics|65	1549-1558	2480
IEEE Trans. Industrial Electronics|65	6959-6969	2481
IEEE Trans. Industrial Electronics|65	4347-4356	2482
IEEE Trans. Industrial Electronics|65	2672-2682	2483
IEEE Trans. Industrial Electronics|65	5476-5486	2484
IEEE Trans. Industrial Electronics|65	4619-4630	2485
IEEE Trans. Industrial Electronics|65	9668-9676	2486
IEEE Trans. Industrial Electronics|65	8553-8564	2487
IEEE Trans. Industrial Electronics|65	7878-7887	2488
IEEE Trans. Industrial Electronics|65	9582-9592	2489
IEEE Trans. Industrial Electronics|65	5826-5836	2490
IEEE Trans. Industrial Electronics|65	2439-2448	2491
IEEE Trans. Industrial Electronics|65	4197-4206	2492
IEEE Trans. Industrial Electronics|65	3942-3953	2493
IEEE Trans. Industrial Electronics|65	4492-4502	2494
IEEE Trans. Industrial Electronics|65	3355-3364	2495
IEEE Trans. Industrial Electronics|65	8667-8676	2496
IEEE Trans. Industrial Electronics|65	9079-9089	2497
IEEE Trans. Industrial Electronics|65	4724-4738	2498
IEEE Trans. Industrial Electronics|65	331-341	2499
IEEE Trans. Industrial Electronics|65	4953-4961	2500
IEEE Trans. Industrial Electronics|65	3976-3984	2501
IEEE Trans. Industrial Electronics|65	5693-5703	2502
IEEE Trans. Industrial Electronics|65	7495-7503	2503
IEEE Trans. Industrial Electronics|65	7516-7525	2504
IEEE Trans. Industrial Electronics|65	1187-1195	2505
IEEE Trans. Industrial Electronics|65	2408-2418	2506
IEEE Trans. Industrial Electronics|65	6762-6771	2507
IEEE Trans. Industrial Electronics|65	1728-1739	2508
IEEE Trans. Industrial Electronics|65	7548-7557	2509
IEEE Trans. Industrial Electronics|65	8307-8319	2510
IEEE Trans. Industrial Electronics|65	5497-5508	2511
IEEE Trans. Industrial Electronics|65	8408-8421	2512
IEEE Trans. Industrial Electronics|65	3866-3878	2513
IEEE Trans. Industrial Electronics|65	3286-3295	2514
IEEE Trans. Industrial Electronics|65	7301-7310	2515
IEEE Trans. Industrial Electronics|65	3666-3676	2516
IEEE Trans. Industrial Electronics|65	2080-2089	2517
IEEE Trans. Industrial Electronics|65	5704-5711	2518
IEEE Trans. Industrial Electronics|65	2653-2662	2519
IEEE Trans. Industrial Electronics|65	67-76	2520
IEEE Trans. Industrial Electronics|65	8445-8454	2521
IEEE Trans. Industrial Electronics|65	103-113	2522
IEEE Trans. Industrial Electronics|65	6676-6685	2523
IEEE Trans. Industrial Electronics|65	251-260	2524
IEEE Trans. Industrial Electronics|65	2904-2914	2525
IEEE Trans. Industrial Electronics|65	3592-3600	2526
IEEE Trans. Industrial Electronics|65	3699-3707	2527
IEEE Trans. Industrial Electronics|65	2335-2345	2528
IEEE Trans. Industrial Electronics|65	4357-4367	2529
IEEE Trans. Industrial Electronics|65	2289-2301	2530
IEEE Trans. Industrial Electronics|65	6099-6108	2531
IEEE Trans. Industrial Electronics|65	270-279	2532
IEEE Trans. Industrial Electronics|65	6612-6624	2533
IEEE Trans. Industrial Electronics|65	664-672	2534
IEEE Trans. Industrial Electronics|65	9367-9377	2535
IEEE Trans. Industrial Electronics|65	1298-1305	2536
IEEE Trans. Industrial Electronics|65	189-199	2537
IEEE Trans. Industrial Electronics|65	4017-4027	2538
IEEE Trans. Industrial Electronics|65	1855-1864	2539
IEEE Trans. Industrial Electronics|65	5856-5863	2540
IEEE Trans. Industrial Electronics|65	4070-4079	2541
IEEE Trans. Industrial Electronics|65	5040-5050	2542
IEEE Trans. Industrial Electronics|65	3708-3719	2543
IEEE Trans. Industrial Electronics|65	9429-9437	2544
IEEE Trans. Industrial Electronics|65	727-737	2545
IEEE Trans. Industrial Electronics|65	6686-6695	2546
IEEE Trans. Industrial Electronics|65	8330-8339	2547
IEEE Trans. Industrial Electronics|65	5167-5176	2548
IEEE Trans. Industrial Electronics|65	309-320	2549
IEEE Trans. Industrial Electronics|65	4368-4377	2550
IEEE Trans. Industrial Electronics|65	3646-3656	2551
IEEE Trans. Industrial Electronics|65	5272-5281	2552
IEEE Trans. Industrial Electronics|65	636-644	2553
IEEE Trans. Industrial Electronics|65	5921-5930	2554
IEEE Trans. Industrial Electronics|65	403-411	2555
IEEE Trans. Industrial Electronics|65	1290-1297	2556
IEEE Trans. Industrial Electronics|65	6828-6838	2557
IEEE Trans. Industrial Electronics|65	810-818	2558
IEEE Trans. Industrial Electronics|65	3480-3490	2559
IEEE Trans. Industrial Electronics|65	760-769	2560
IEEE Trans. Industrial Electronics|65	3657-3665	2561
IEEE Trans. Industrial Electronics|65	5673-5681	2562
IEEE Trans. Industrial Electronics|65	9550-9560	2563
IEEE Trans. Industrial Electronics|65	1955-1964	2564
IEEE Trans. Industrial Electronics|65	6436-6445	2565
IEEE Trans. Industrial Electronics|65	942-950	2566
IEEE Trans. Industrial Electronics|65	5105-5113	2567
IEEE Trans. Industrial Electronics|65	2893-2903	2568
IEEE Trans. Industrial Electronics|65	8510-8519	2569
IEEE Trans. Industrial Electronics|65	6948-6958	2570
IEEE Trans. Industrial Electronics|65	1021-1030	2571
IEEE Trans. Industrial Electronics|65	6009-6016	2572
IEEE Trans. Industrial Electronics|65	9399-9409	2573
IEEE Trans. Industrial Electronics|65	2766-2774	2574
IEEE Trans. Industrial Electronics|65	2069-2079	2575
IEEE Trans. Industrial Electronics|65	5623-5633	2576
IEEE Trans. Industrial Electronics|65	7911-7920	2577
IEEE Trans. Industrial Electronics|65	8080-8091	2578
IEEE Trans. Industrial Electronics|65	8749-8757	2579
IEEE Trans. Industrial Electronics|65	968-976	2580
IEEE Trans. Industrial Electronics|65	3636-3645	2581
IEEE Trans. Industrial Electronics|65	4790-4798	2582
IEEE Trans. Industrial Electronics|65	261-269	2583
IEEE Trans. Industrial Electronics|65	2996-3007	2584
IEEE Trans. Industrial Electronics|65	3539-3549	2585
IEEE Trans. Industrial Electronics|65	5292-5301	2586
IEEE Trans. Industrial Electronics|65	1140-1148	2587
IEEE Trans. Industrial Electronics|65	8809-8817	2588
IEEE Trans. Industrial Electronics|65	6994-7003	2589
IEEE Trans. Industrial Electronics|65	3772-3783	2590
IEEE Trans. Industrial Electronics|65	5344-5352	2591
IEEE Trans. Industrial Electronics|65	3427-3436	2592
IEEE Trans. Industrial Electronics|65	709-717	2593
IEEE Trans. Industrial Electronics|65	4125-4134	2594
IEEE Trans. Industrial Electronics|65	7793-7804	2595
IEEE Trans. Industrial Electronics|65	7558-7568	2596
IEEE Trans. Industrial Electronics|65	9814-9824	2597
IEEE Trans. Industrial Electronics|65	4973-4982	2598
IEEE Trans. Industrial Electronics|65	5078-5080	2599
IEEE Trans. Industrial Electronics|65	8018-8029	2600
IEEE Trans. Industrial Electronics|65	6983-6993	2601
IEEE Trans. Industrial Electronics|65	1450-1458	2602
IEEE Trans. Industrial Electronics|65	1377-1387	2603
IEEE Trans. Industrial Electronics|65	2398-2407	2604
IEEE Trans. Industrial Electronics|65	7220-7228	2605
IEEE Trans. Industrial Electronics|65	4423	2606
IEEE Trans. Industrial Electronics|65	3240-3251	2607
IEEE Trans. Industrial Electronics|65	5837-5846	2608
IEEE Trans. Industrial Electronics|65	1685-1694	2609
IEEE Trans. Industrial Electronics|65	2838	2610
IEEE Trans. Industrial Electronics|65	8271-8273	2611
IEEE Trans. Industrial Electronics|65	9459-9467	2612
IEEE Trans. Industrial Electronics|65	907-917	2613
IEEE Trans. Industrial Electronics|65	7933-7943	2614
IEEE Trans. Industrial Electronics|65	8906-8914	2615
IEEE Trans. Industrial Electronics|65	4542-4552	2616
IEEE Trans. Industrial Electronics|65	1097-1106	2617
IEEE Trans. Industrial Electronics|65	6552-6559	2618
IEEE Trans. Industrial Electronics|65	6816-6827	2619
IEEE Trans. Industrial Electronics|65	27-37	2620
IEEE Trans. Industrial Electronics|65	3045-3055	2621
IEEE Trans. Industrial Electronics|65	2518-2524	2622
IEEE Trans. Industrial Electronics|65	844-854	2623
IEEE Trans. Industrial Electronics|65	2716-2726	2624
IEEE Trans. Industrial Electronics|65	8340-8350	2625
IEEE Trans. Industrial Electronics|65	7447-7457	2626
IEEE Trans. Industrial Electronics|65	5406-5413	2627
IEEE Trans. Industrial Electronics|65	6800-6812	2628
IEEE Trans. Industrial Electronics|65	2049-2056	2629
IEEE Trans. Industrial Electronics|65	553-560	2630
IEEE Trans. Industrial Electronics|65	5081-5085	2631
IEEE Trans. Industrial Electronics|65	5456-5465	2632
IEEE Trans. Industrial Electronics|65	1107-1116	2633
IEEE Trans. Industrial Electronics|65	3035-3044	2634
IEEE Trans. Industrial Electronics|65	156-166	2635
IEEE Trans. Industrial Electronics|65	4921-4932	2636
IEEE Trans. Industrial Electronics|65	1041-1050	2637
IEEE Trans. Industrial Electronics|65	2039-2048	2638
IEEE Trans. Industrial Electronics|65	7921-7932	2639
IEEE Trans. Industrial Electronics|65	5590-5600	2640
IEEE Trans. Industrial Electronics|65	9488-9497	2641
IEEE Trans. Industrial Electronics|65	9438-9448	2642
IEEE Trans. Industrial Electronics|65	4991-5000	2643
IEEE Trans. Industrial Electronics|65	386-393	2644
IEEE Trans. Industrial Electronics|65	4483-4491	2645
IEEE Trans. Industrial Electronics|65	352-362	2646
IEEE Trans. Industrial Electronics|65	8297-8306	2647
IEEE Trans. Industrial Electronics|65	7963-7974	2648
IEEE Trans. Industrial Electronics|65	7268-7278	2649
IEEE Trans. Industrial Electronics|65	7630-7639	2650
IEEE Trans. Industrial Electronics|65	9147-9156	2651
IEEE Trans. Industrial Electronics|65	4311-4321	2652
IEEE Trans. Industrial Electronics|65	2234-2244	2653
IEEE Trans. Industrial Electronics|65	8788-8796	2654
IEEE Trans. Industrial Electronics|65	7193-7201	2655
IEEE Trans. Industrial Electronics|65	6912-6922	2656
IEEE Trans. Industrial Electronics|65	5466-5475	2657
IEEE Trans. Industrial Electronics|65	6120-6130	2658
IEEE Trans. Industrial Electronics|65	5644-5654	2659
IEEE Trans. Industrial Electronics|65	49-58	2660
IEEE Trans. Industrial Electronics|65	4810-4818	2661
IEEE Trans. Industrial Electronics|65	4322-4330	2662
IEEE Trans. Industrial Electronics|65	5069-5077	2663
IEEE Trans. Industrial Electronics|65	9421-9428	2664
IEEE Trans. Industrial Electronics|65	4080-4091	2665
IEEE Trans. Industrial Electronics|65	5313-5323	2666
IEEE Trans. Industrial Electronics|65	6592-6601	2667
IEEE Trans. Industrial Electronics|65	4681-4690	2668
IEEE Trans. Industrial Electronics|65	6198-6205	2669
IEEE Trans. Industrial Electronics|65	616-625	2670
IEEE Trans. Industrial Electronics|65	8543-8552	2671
IEEE Trans. Industrial Electronics|65	7762-7771	2672
IEEE Trans. Industrial Electronics|65	4771-4780	2673
IEEE Trans. Industrial Electronics|65	5941-5950	2674
IEEE Trans. Industrial Electronics|65	2873-2882	2675
IEEE Trans. Industrial Electronics|65	578-588	2676
IEEE Trans. Industrial Electronics|65	8895-8905	2677
IEEE Trans. Industrial Electronics|65	2727-2736	2678
IEEE Trans. Industrial Electronics|65	8946-8955	2679
IEEE Trans. Industrial Electronics|65	9498-9508	2680
IEEE Trans. Industrial Electronics|65	1837-1845	2681
IEEE Trans. Industrial Electronics|65	2313-2321	2682
IEEE Trans. Industrial Electronics|65	2419-2428	2683
IEEE Trans. Industrial Electronics|65	5796-5805	2684
IEEE Trans. Industrial Electronics|65	300-308	2685
IEEE Trans. Industrial Electronics|65	7211-7219	2686
IEEE Trans. Industrial Electronics|65	3730-3739	2687
IEEE Trans. Industrial Electronics|65	5509-5517	2688
IEEE Trans. Industrial Electronics|65	1908-1918	2689
IEEE Trans. Industrial Electronics|65	8422-8432	2690
IEEE Trans. Industrial Electronics|65	1719-1727	2691
IEEE Trans. Industrial Electronics|65	876-886	2692
IEEE Trans. Industrial Electronics|65	5213-5220	2693
IEEE Trans. Industrial Electronics|65	3921-3931	2694
IEEE Trans. Industrial Electronics|65	2100-2111	2695
IEEE Trans. Industrial Electronics|65	6206-6216	2696
IEEE Trans. Industrial Electronics|65	532-542	2697
IEEE Trans. Industrial Electronics|65	2785-2794	2698
IEEE Trans. Industrial Electronics|65	167-178	2699
IEEE Trans. Industrial Electronics|65	9311-9324	2700
IEEE Trans. Industrial Electronics|65	6109-6119	2701
IEEE Trans. Industrial Electronics|65	8455-8463	2702
IEEE Trans. Industrial Electronics|65	6839-6849	2703
IEEE Trans. Industrial Electronics|65	7579-7589	2704
IEEE Trans. Industrial Electronics|65	8124-8132	2705
IEEE Trans. Industrial Electronics|65	8163-8172	2706
IEEE Trans. Industrial Electronics|65	6719-6729	2707
IEEE Trans. Industrial Electronics|65	7477-7484	2708
IEEE Trans. Industrial Electronics|65	1429-1438	2709
IEEE Trans. Industrial Electronics|65	1347-1357	2710
IEEE Trans. Industrial Electronics|65	1665-1674	2711
IEEE Trans. Industrial Electronics|65	1062-1073	2712
IEEE Trans. Industrial Electronics|65	5785-5795	2713
IEEE Trans. Industrial Electronics|65	6403-6413	2714
IEEE Trans. Industrial Electronics|65	2629-2641	2715
IEEE Trans. Industrial Electronics|65	6089-6098	2716
IEEE Trans. Industrial Electronics|65	447-459	2717
IEEE Trans. Industrial Electronics|65	3326-3336	2718
IEEE Trans. Industrial Electronics|65	3386-3394	2719
IEEE Trans. Industrial Electronics|65	699-708	2720
IEEE Trans. Industrial Electronics|65	133-144	2721
IEEE Trans. Industrial Electronics|65	4840-4848	2722
IEEE Trans. Industrial Electronics|65	5114-5124	2723
IEEE Trans. Industrial Electronics|65	8707-8717	2724
IEEE Trans. Industrial Electronics|65	424-435	2725
IEEE Trans. Industrial Electronics|65	6229-6238	2726
IEEE Trans. Industrial Electronics|65	5655-5664	2727
IEEE Trans. Industrial Electronics|65	8532-8542	2728
IEEE Trans. Industrial Electronics|65	6505-6514	2729
IEEE Trans. Industrial Electronics|65	2863-2872	2730
IEEE Trans. Industrial Electronics|65	3995-4005	2731
IEEE Trans. Industrial Electronics|65	4861-4870	2732
IEEE Trans. Industrial Electronics|65	6936-6947	2733
IEEE Trans. Industrial Electronics|65	3910-3920	2734
IEEE Trans. Industrial Electronics|65	8195-8203	2735
IEEE Trans. Industrial Electronics|65	1897-1907	2736
IEEE Trans. Industrial Electronics|65	6160-6167	2737
IEEE Trans. Industrial Electronics|65	6772-6786	2738
IEEE Trans. Industrial Electronics|65	2567-2577	2739
IEEE Trans. Industrial Electronics|65	2256-2267	2740
IEEE Trans. Industrial Electronics|65	6301-6308	2741
IEEE Trans. Industrial Electronics|65	9388-9398	2742
IEEE Trans. Industrial Electronics|65	8239-8249	2743
IEEE Trans. Industrial Electronics|65	2945-2955	2744
IEEE Trans. Industrial Electronics|65	5282-5291	2745
IEEE Trans. Industrial Electronics|65	6487-6496	2746
IEEE Trans. Industrial Electronics|65	2986-2995	2747
IEEE Trans. Industrial Electronics|65	5367-5375	2748
IEEE Trans. Industrial Electronics|65	4781-4789	2749
IEEE Trans. Industrial Electronics|65	1772-1780	2750
IEEE Trans. Industrial Electronics|65	6077-6088	2751
IEEE Trans. Industrial Electronics|65	1711-1718	2752
IEEE Trans. Industrial Electronics|65	3406-3416	2753
IEEE Trans. Industrial Electronics|65	2009-2017	2754
IEEE Trans. Industrial Electronics|65	5395-5405	2755
IEEE Trans. Industrial Electronics|65	3458-3468	2756
IEEE Trans. Industrial Electronics|65	1585-1594	2757
IEEE Trans. Industrial Electronics|65	5665-5672	2758
IEEE Trans. Industrial Electronics|65	4714-4723	2759
IEEE Trans. Industrial Electronics|65	626-635	2760
IEEE Trans. Industrial Electronics|65	2212-2225	2761
IEEE Trans. Industrial Electronics|65	1980-1990	2762
IEEE Trans. Industrial Electronics|65	6055-6065	2763
IEEE Trans. Industrial Electronics|65	3568-3575	2764
IEEE Trans. Industrial Electronics|65	8758-8767	2765
IEEE Trans. Industrial Electronics|65	6291-6300	2766
IEEE Trans. Industrial Electronics|65	8973-8981	2767
IEEE Trans. Industrial Electronics|65	4268-4278	2768
IEEE Trans. Industrial Electronics|65	1865-1874	2769
IEEE Trans. Industrial Electronics|65	9047-9055	2770
IEEE Trans. Industrial Electronics|65	6527-6537	2771
IEEE Trans. Industrial Electronics|65	9938-9952	2772
IEEE Trans. Industrial Electronics|65	7620-7629	2773
IEEE Trans. Industrial Electronics|65	738-748	2774
IEEE Trans. Industrial Electronics|65	1470-1480	2775
IEEE Trans. Industrial Electronics|65	3621-3632	2776
IEEE Trans. Industrial Electronics|65	6188-6197	2777
IEEE Trans. Industrial Electronics|65	4503-4513	2778
IEEE Trans. Industrial Electronics|65	9410-9420	2779
IEEE Trans. Industrial Electronics|65	1281-1289	2780
IEEE Trans. Industrial Electronics|65	9928-9937	2781
IEEE Trans. Industrial Electronics|65	4432-4442	2782
IEEE Trans. Industrial Electronics|65	654-663	2783
IEEE Trans. Industrial Electronics|65	211-220	2784
IEEE Trans. Industrial Electronics|65	2302-2312	2785
IEEE Trans. Industrial Electronics|65	7332-7342	2786
IEEE Trans. Industrial Electronics|65	2199-2211	2787
IEEE Trans. Industrial Electronics|65	5086-5091	2788
IEEE Trans. Industrial Electronics|65	6333-6342	2789
IEEE Trans. Industrial Electronics|65	3826-3836	2790
IEEE Trans. Industrial Electronics|65	4574-4587	2791
IEEE Trans. Industrial Electronics|65	7279-7289	2792
IEEE Trans. Industrial Electronics|65	9068-9078	2793
IEEE Trans. Industrial Electronics|65	4608-4618	2794
IEEE Trans. Industrial Electronics|65	59-66	2795
IEEE Trans. Industrial Electronics|65	5445-5455	2796
IEEE Trans. Industrial Electronics|65	9905-9915	2797
IEEE Trans. Industrial Electronics|65	800-809	2798
IEEE Trans. Industrial Electronics|65	2388-2397	2799
IEEE Trans. Industrial Electronics|65	2487-2495	2800
IEEE Trans. Industrial Electronics|65	4227-4236	2801
IEEE Trans. Industrial Electronics|65	9884-9894	2802
IEEE Trans. Industrial Electronics|65	8585-8594	2803
IEEE Trans. Industrial Electronics|65	7660-7671	2804
IEEE Trans. Industrial Electronics|65	7485-7494	2805
IEEE Trans. Industrial Electronics|65	6343-6351	2806
IEEE Trans. Industrial Electronics|65	5634-5643	2807
IEEE Trans. Industrial Electronics|65	8232-8238	2808
IEEE Trans. Industrial Electronics|65	2806-2816	2809
IEEE Trans. Industrial Electronics|65	1336-1346	2810
IEEE Trans. Industrial Electronics|65	5847-5855	2811
IEEE Trans. Industrial Electronics|65	5990-5998	2812
IEEE Trans. Industrial Electronics|65	1213-1225	2813
IEEE Trans. Industrial Electronics|65	8351-8360	2814
IEEE Trans. Industrial Electronics|65	9646-9657	2815
IEEE Trans. Industrial Electronics|65	9016-9024	2816
IEEE Trans. Industrial Electronics|65	673-675	2817
IEEE Trans. Industrial Electronics|65	7248-7257	2818
IEEE Trans. Industrial Electronics|65	2618-2628	2819
IEEE Trans. Industrial Electronics|65	830-833	2820
IEEE Trans. Industrial Electronics|65	6250-6258	2821
IEEE Trans. Industrial Electronics|65	5572-5579	2822
IEEE Trans. Industrial Electronics|65	9539-9549	2823
IEEE Trans. Industrial Electronics|65	3576-3584	2824
IEEE Trans. Industrial Electronics|65	5743-5753	2825
IEEE Trans. Industrial Electronics|65	5518-5528	2826
IEEE Trans. Industrial Electronics|65	3115-3124	2827
IEEE Trans. Industrial Electronics|65	4424-4427	2828
